Secret,Jatim,Sumber,Balekambang,Museum,The,Aston,Golden
"I would recommend it for families with young children (<10 years old). There is a zoo (with many diff?rent species) and a small attraction park and recreation area for children. It is cheap (we paid less than 400k for 2 adults and 2 children, apparently with 20% discount just?","Fun park, but need lots of improvement.  Need more clean restroom, disability path or stroller way are not exist.  Bagong Museum need to re-paint and more creativity to make it more interesting.  ",,"definitely worth to take a visit if you are in (Southern) Malang and also visit nearby beaches. The beach itself was nice but busy on a Sunday, and there was a bit too much garbage. This is unfortunately the case for many places in Indonesia!","So much to see, even with 4 hours it didn't seem enough.  To fully enjoy all that it is, we should pace our visit to watch all 3 shows, especially the parade which I believe must have been the biggest event.  It was fun taking pictures with our friends, and I wish we didn't have?",Located about 1 hour from Malang airport. 5mnt to Museum Angkut. 10mnt to JATIM Park1. Cozy place to stay at night. No AC provided because the weather is cold enough. No breakfast available. Car can be booked at the villa.,"clean, comfy place and environmental friendly. Easy to get grab car from the place. Would be good if the room lighting is a bit brighter. Also conversation and noise from other rooms can be heard from inside the room ","In golden tulip, hospitality of staff is very good. In deluxe room very comfortable and clean. Pemateri, very classy. Come to golden tulip resort holland hotel<U+2764><U+0001F44D>. In here have 7 rooms grade. Deluxe room, premiere room, junior suite room, holland suite room, golden suite room, sky suite room, and presidensial suite room"
"Part of the bigger theme park Jatim 2, this zoo is one of the bests that we have visited. Its primate collection is vast, along with all other species of the animal kingdom. The park also offers several rides, a waterpark and children playground. The foodcourt needs a better?",Open at 10.00 AM - 04.30 PM.  In this theme park divided many area such as : -Indonesia culture area -Experiment tools for high school student especially physic and chemistry -Prehistoric Diorama  -Water Park -Theme park  Minus : - Many experimental tools have been damaged and?,,Lovely beach but its spoilt by all the trash left lying around. Best to visit during the week as weekends is very busy.,"This place has a huge variety of vehicles, starting from carts, bikes, cars, planes... all of the vehicles are arranged in a thematic surroundings.. at least we should spend more than 2 hours to explore this museum... quite recommended attraction","We have been stayed at this villa in Lebaran Holiday. We glad to stay in this villa because the location is great. Only few minutes drive to Jatim Park 1 & 2, and in walking distance to museum angkut. We stayed at romantic villa. The villa has nicely spacious room. One of the downside is warm water for bathtub. You can not fulfill the bathtub with warm water because warm water only flow for around half of bathtub. And another minus is it takes too long to order food to room. Food itself is delicious and cheap. But it takes forever to deliver to our villa. I think if we don't call to remind, the food will not come to our villa at all. It doesn't happen once but every time we order food to our villa. Overall this villa has possibility to become great villa in Batu. We enjoy?","I love the breakfast. Delicious menu with the great mountain view. Parking area is big enough to accomodate guest vehicle. Aston Inn located behind Museum Angkut, which means it's have a stratregic location.","5-star hotel in the city of Batu Malang that always makes guests always happy, far from sad words, and feel the warmth of the family and very special service thanks for the service that is really very satisfying"
The zoo is provided with colllection of birds from indonesia  as well as from other countries such as brazill and other african birds. Carnivora animal is also complete. It is woth an effort sightseeing.,"There are a lot of things u can see here, rare animals, so many different monkey species, u can take photos with animal also, beautiful souvenirs, clothes, magnets, hunted house, little zoo which mean a lot of babies animal, such as goat, rabbit, birds, piggies, even food stall,?",,"went there during rainy season but it was beautiful and had some sun!!! you can walk around, the small shops and restaurants are nice!! you can go both sides of the temple island and if you are patient and look you will see turtles next to the shore","We love the ambiance, spent 5 hours here and all my 4 kids age 7 to 16 years old were truly enjoyed this exhibition. The young one can rent a costume and there is a president flight too. This museum showcases quite an impressive collections.","If you just need a nice place to sleep, this is the right hotel. Don't look for swimming pool or garden view. Taste of food also standard. But it located so closed with museum angkut and jatimpark 1, so we can reach there easily.","The best hotels in malang city,room clean, view mountain is very beautiful, breakfast selection was good,friendly staff,fast check in/check out ,support minimize for bottle plastic, worth to come back again,","This is my third visit in the last 12 months. This time is a group visit while the previous two are family vacation. As always, I never get disappointed at all. All of the hotel's staff and personels are doing their best in ensuring the best satisfaction of the guests. I feel the spirit of prioritizing customer satisfaction is somehow embedded in their DNA and corporate culture.  The rooms are clean, foods are tasty, accessability is easy, and service is excellent. What can you expect more? Golden Tulip BATU is definitely best in class."
"Rare animal and unique exhibit, you cant see type of animal anywhere else beside in here, food and snack sold here are very cheap, there is a rental cart and its cheap for 3 hour strolling around the zoo, most of the attraction are free and young children even adult will love it?",I've came in 8years ago . But actualy comeback in 2013 . And everything difrent . Maybe couse at last they had jatim park 2 . So this place got less customer . But all good .,,"Balekambang has a cool beach and lovely people. The temple on a small island will give you some cool views. The rooms there are pure basic, don't expect anything more than a bed and  and small bathroom oom. But it is a nice experience. ","Batu city still the best Every where you go,any time any where you are never bored in this city..have fun and enjoy","I stay at dormitory room for 2 nights. There are 4 bunk beds,very clean and comfort.I get a blanket,towel,mineral water,sandals,tooth paste, tooth brush and a locker.The sharing bathroom is very clean as well with hot and cold shower. Definately will come back there again.","Nice and comfortable hotel in Batu Malang, easy to achieved by car through sby-malang high way. Yummy breakfast and nice place to dine in, so many variants of indonesian food, and western food and cakes. Friendly and helpful staffs. Recommended hotel for business or family holiday.","Very excited place in batu city, thanks a lot for great service, suprice honeymoon, cozy room with good view ( i got a corner room) First time come to batu, i got best experience , i'll come back soon <U+0001F60D>"
"modern zoo with a lot of kind of animal, they provide zoo educator for kids. there's playground too inside the area.","Visit this place with family, the place was nice, facilities like toilet could be more cleaned, in amount those alredy more than enough. The only thing was about the smoking area, some people not honored with the area and could smoke everywhere. The other remain FunTasteTic...",,It is actualy a beautiful beach with the small temple and bridge but it was dirty.  We need moe trashbin around because it was hard to find one.  ,We have fun time during our visit. With all instagramable corner to foto shoot. We love it. If possible Its will be great if they have food corner inside because the place was big.,"Fast wifi. Clean room, provide amenities,  no breakfast. But you can order your meal next door of this hotel called warung khas batu, which its cheap and taste not so bad. But lack of variety. The bed was clean and the towel too. They have billiard and karambol in front of the receptionist. Value for money.","We quite enjoy our stay in Aston Inn, Batu. It was enough space in the room. However, it had exceptional pillows and beds. The breakfast is quite nice with amazing views to Batu City and mountains behind.","My family and me stayed at the Golden Tulip Holland & Resort Batu for the first time. We were very amazed and satisfied with the view, service, varied food menu and facilities at this Resort. Overall it was perfect, especially with a very friendly and helpful service by a Receptionist, named Kiki. She explained us very detailed and friendly. So that, my family were greatly helped by her, We feel so comfort stay here and we would go back here for the next time."
"Batu secret zoo provide us many kind of animal, its  help us to know more about them and their habitat. And its also foster a feeling of more loving animals, especially in wild life","It's always amazed me every time I see Indonesian traditional houses, dresses, and heritage. We are so rich. This park has exhibition about those. It has science center too inside the park. Another interesting part of Jatim Park 1 is Museum Bagong or Museum Tubuh. It shows how?",,"Beautiful white sandy beach featured with an exotic temple standing magnificently on the beach. Balekambang Beach also has an amazing tide to see. At a glance, it looks like Tanah Lot, the beach with an exotic temple and it as a bridge which is connecting the temple and the?","The right place for me as a car lover ... the place displayed many other forms of transportation but I spent more time looking at cars... many Chevy, Fords, Merc etc... keep up the good work the people at the museum angkut<U+0001F44D><U+0001F44D>RP 100k entrance for adults... tourists 20% off","The location of the villa is wonderful,  right next door to an amusement park and a few museums,  and our party had an excellent time perusing them.   The villa itself was cute,  with a clever hexagonal floorplan,  though in need of a bit of repair,  and like most all of Indonesia,  sorely lacking in power outlets.   The staff, however,  needed work. All in all,  we imposed on the staff for three things. Firstly,  our first morning there,  my sister ordered a cup of coffee.   After nearly two hours it arrived,  partially spilled,  atrociously burned,  and overall terrible.   No explanation or apologies were given, and she was charged full price for it. Secondly, my wife paid for a full body massage,  though the masseuse rushed through most of it and spent the majority of the?","Room clean, staffs are helpfull, breakfast wide variety of meal and taste good, every room had a scenery of mountain surounding Batu, also near to every attraction by walking or with online-transport.","Bored with the noise of the city I decided to stay at Batu Malang. After seeing some reviews on social media I finally decided to choose the Golden Tulip Holland Resort stone as an option. I stayed in a Junior Suite in room 8201 with a spacious living room and bedroom, and there is a private jacuzzi that we can set for warm water. I tried dinner at Skydome, where the info was just opened, the food and drinks are all special with a very good taste. it seems not enough to just stay a day here because there are still many facilities that I have not explored. I will return to the Golden Tulip When I visit stone again. Special Thanks to Mr. Ali for providing exceptional service."
"The place is well designed and arranged with walking track that even though crowded, visitors can stop for a while and enjoy observing the animals. Most of the animals there we have only seen on tv shows or cartoon. It's all very interesting that we didn't realize we have walk?","Family holiday in jatim park 1, batu, malang, east jawa. All Facilities and infrastructure are standard, clean, environmentally friendly. Unfortnetly, when it rains, all outdoor games should stop. This is understandable as it relates to safety. For the future can be considered,?",,A pretty but not anything special. Dedicated as 'Hindu Beach' with small Pura in the right section. One of the less-known by tourist because few tourist knows that Malang got a beach.  Good spot for sunset seeing  Needs a lot of improvement in infrastructure.,"I was informed by my driver to buy tickets via traveloka due to ongoing promotions. On site tickets were 100.000rp per pax, but if you rent costumes, it will be additional 20.000rp per person, or even if you try the games /rides, all to be charged separately.   There are many?","Arrived late but they were ready and expecting me. Nice place to crash,  beautiful view across the road, good food and polite staff. I made reservation through agoda and its worth the stay. We even ordered room service, love the food. Would repeat booking for sure<U+0001F60A>","We booked the Penthouse for 2 nights before NYE. It wasnt really spacious for a penthouse. We waited for bout 30 mins to get our room after transaction. It wasnt quite annoying as we all were so tired after a long trip, and there was only us who checked in that time (around 2.30 pm), and the penthouse is only one. I dont get it why we had to wait for 30mins juz to get our room done.  The penthouse is beside the restaurant. So it was noisy at night as u can hear the band singing jext door.   They have kitchen in the penthouse but without any appliance and drink set. Jus minibar at each room, so im not sure what is the kitchen for.  The sink and toilet were in poor condition as we need 2-3 times flush to get it cleaned.  The only thing i like is this hotel is near museum angkut,?","best hotel in town, the view such an amazing.. the food are tasty, the staff are friendly and very helpfull i really love the room as well, very comfort and quite enough.. i'll be back soon.. terima kasih"
"Since this was my second visit I did not expect more from the attraction. I finally realised two surprising things.  Firstly, just recently I realised how huge the King Cobra. The size was thrilled me. To my surprise my daugter told me that the king cobra was there last year !?","Liburan sekolah anak2, pertama kali ke batu   My review for this park :  1. Staff : 3 <U+2B50><U+FE0F> 2. Functionality of device : 3<U+2B50><U+FE0F> 3. Wifi : 4<U+2B50><U+FE0F> 4. Restaurant availability:3<U+2B50><U+FE0F> 5. Taste of food : 3<U+2B50><U+FE0F> 6. Sign or direction : 4 <U+2B50><U+FE0F> 7. Price : 4<U+2B50><U+FE0F> 8. Access : 4<U+2B50><U+FE0F> 9. Souvenir: 4 <U+2B50><U+FE0F> 10. Banking?",,"As a beach lover, I don't think it's worth the time traveling 2 hours just to see the beach. It's just like any other beach on the southern coast of Java island. Apart from a shrine built above the waters (like the one in Tanah Lot, Bali), nothing else is special. Ps: The locals?",Old cars lovers should coming in. This museum has a lot of collection from traditional to modern transportations. 20% discount for foreigners ,"It was near museum angkut and jatim park 1. You can walk there. We stayed in Junior room. The room was good and clean, but the bathroom was outside, but its okay, the bathroom wa clean too. Unfortunately the lobby, restaurant and the garden was dirty.  We rent a motorcycle and it was break down once.","the hotel is very kindness for family trip, near object travelling in Batu like musium angkut, jatim park 1 & jatim park 2. but near hotel there wasn't  culinary place.eventhough we can order food via online food. sometimes  the road to the hotel was traffic . ","This is one of the best resort that we've ever visited so far! From the ambience, room, view, staff, cleanless, and everything you see/feel are just perfect! the staff are just WOW! and what I meant is EVERY SINGLE staff! they greet us in every meet and always be super friendly, smiling, polite and oh! We love Kiki at FO who is really helpful with the check in and Ali (or Alif? sorry we couldn't heard really well) being super friendly and informative person at FO while we check out..  They gave us free upgrade from Deluxe room to premiere room as the first timer here..  Their facilities to entertain the guests are so cool! they have swimming pool, playground for kids, the games, the billiard, gym, spa, and many more and we love them all!  The restaurant called Branche that we?"
Its not like many other zoo in the country...it has so many different type of animals that we never see it in common...my kids love it here...definitely one of the best place that we visited in Batu,"After a long discussion, me & my office mates decided to go to this place.  For those who loves play a game, this place is for you.  But those who wants to relax, better if you go for another places like Selecta or Omah Kayu. ",,nice beach with white sand and exotic pura on the small island. need to improve the facility. beach behind the river is another hidden gem,The collection is a lot. But missing to add something like the future cars involving high tech. Not only from the past until now.,"we stayed for 4d3n with wonderful mountain view (esp at night), good stay, good location, tasty food, service was ok. really close by museum angkut, jatim park 1&2 and also with affordable price. but the pillow was a lil bit smelly and we need to change it twice.","The hotel has good service, the rooms are clean, the corridors are ok, the food at breakfast also varies. upstairs can see the surrounding natural scenery. The hotel clerk is quite good at handling guests.","Hotel location is great, cleanliness on the room and every area is good, hotel staff is polite and serving best but somehow the food taste on last 3 yrs up to now is not improved and still not tasty and often to over cook. Food variance is many more to Indonesian food. "
"From all jtp group site, this one is our favourite!! Super exciting activities await inside. No spoiler for you but just prepare to spend all day so get your feet ready!! Psst, better come from the opening hour until the closing hour so you can enjoy all the fun inside....","Hi, a mounth ago me and my family spending our holiday to come and visit Malang, East java, and we have decided to visit Jawa Timur Park 1. Ticket pricing which offering in Jatim Park 1 start from 100.000 IDR for weekends and get discount 30% on weekdays. Anyways, they're also?",,"I'm not expecting malang has a beautiful beach, but what I can say, this beach is very beautiful. Need 2 hours from the city. This beach also has a temple.",Nice place to see Museum with a lot of collection. New experience and must go there if you visit Batu Malang,We stayed here for 4 days 3 nights. It was great stay and overall satisfied with the service and facilities. Our room was deluxe room with private bathroom. This hotel has fantastic mountain view. The best part is the price so affordable and its location closed to Museum Angkut. You just need 3 minutes of walk to get there. FYI this hotel also offer motor cycle and car rental with the good price. Just little feedback we got our pillow smelly and need to change twice.,"i n my family felt comfort when stay at aston inn batu. hotel with great facilities n naturally views. my kids so happy , especially when took a breakfast. also diner time , food taste good.... we enjoyed our vacation at malang . thanks to Aston inn baru","Again......!!!!!! second time to celebrate my valentine days with my family and also i bring my best friend family to join. so i reserve got 2 room in 7208 and 7202 how is surprise me and my best friend did when we see our room its so romantic all red rose flower in area itss the best things again i got from that hotel. so again thank to Mr. Ali as a FOM being make my room wonderfull hopelly i will bring more family and friend again in that property, still nice room, cozy swimming poll, cozy palyground , cozy gymnastic and also the best food in batu city. Thanks also To Mr. Luckyas a ITM put the high signal as long i stay in my room. One again thank you guyss......thank you Hotel golden tulip batu i recomended 6*****"
"Love it! My kids love it! Even my parents love it!  This is a very well managed zoo, many different healthy and happy animals, great facilites, comfortable walklanes.  I went on a public holiday, it is very crowded but the zoo can still manage to feel good for every one.  It is?","The idea behind the development of Jatim Park 1 is great yet maybe the budget limitation makes it not as great as expected. There are many exhibits and mostly are informative but lack of vistors' involvement. Only a few the visitors can actually try on. Nonetheless, it is worth?",,"Malang south beach, especially Balekambang is one of the best, just like Tanah Lot, it has temple in the island. West side is the best part white sandy beach.","This place is indeed huge and spacious. Started with collections of historical cars, bikes, indonesia?s traditional transportations, and plane simulator, etc. There?s also thematic studio with western vibes where you can take lot of good photos. Each studio has themes like?","Near museum angkut, good city view and mountain view around batu city, affordable prices, a lot choices of food menu with good taste and good price. Stay in cottage, the room is big with surprises bathroom design. Recommended place to stay.","Booked 7 rooms for 3 nights on 18 - 21 Dec through Hotels.com since August this year. The rooms booked were 32m2. Then 2 days ago received notification from the hotel that the room is 21m2, just few days before we're supposed to check in. Tried to call Hotels.com and was told that the hotel would contact me but still nothing. Tried to contact the hotel through phone and WhatsApp but no one picked up. Here's hoping that we can get the rooms that we booked on the day that we arrive at the hotel.","Today I checked out from Golden Tulip Resort. I attended business meeting here on a fullboard meeting package. From my experience, Meeting room is cozy. Facilities are good. Meeting stationary is complete. However, food and beverage are average. But it's still acceptable. Just don't eat breakfast too early, because it will takes time to warm them up. Since Maybe they cooked it last night. For kids facility is good too. They have playground and small waterpark. Amusement games like pool table, soccer table, and pingpong also available. The most important, they provide warm water pool for kid. Regular swimming pool is great too. But it's freezing. I hope I will stay here again in the afternoon and when the weather is warm enough to swim."
