White_Charter,Tangkuban_Perahu,Dusun_Bambu,Saung_Angklung,Ciater,YELLO,Aryaduta,Trans
"Bring a mask, jacket. head gear. be prepared to smell like sulphur even after you leave the place. do support the local photographers. they can take very good photos for a low fee. do bargain with them if you choose to take many shots. pics are loaded into yur phone for easy…","Read mixed reviews about this site but decided to proceed anyway since we had come all the way to Bandung and Tangkuban Perahu was one of the top attractions.   One thing’s for sure - this place ain’t cheap. Entrance fee per foreign visitor is Rp200K per person, hence with a…","We initially planned to visit this place as a photo and lunch stop before heading off to other attractions. The journey from our hotel in Braga Walk to this place took us about an hour but we got that, the guide suggested we took up the special offer to enjoy the activities in…","Very interactive performance with audience, children performing, culture of different areas were shared in the dances. We were also given task to play angklung and play music base on directions from the emcee who is multi talented who has a beautiful voice to sing along. My…","Very interactive performance with audience, children performing, culture of different areas were shared in the dances. We were also given task to play angklung and play music base on directions from the emcee who is multi talented who has a beautiful voice to sing along. My…","Connected to the Paskal mall directly and also best services especially by the front office team! (I forget who were there, but they’re amazing)  Spacious room, clean room and has reasonable price to stay. They also applied the COVID-19 protocol. So you don’t have to worry to stay here. We went to their swimming pool as well while enjoying the view of Bandung city in the morning<U+0001F324>!   Last but not least, shout for one of the Front Officer who helps me for my luggage and stuff!  Once again thankyou Yello Paskal and the team. I had a great stay! ","I already tried many hotels in Bandung, and no doubt Aryaduta is one of the best hotel in Bandung. But please make some improvement for parking space, its quite hard to find empty space. Breakfast is nice, variety of breakfast should be improved.","from entering the lobby, with friendly front office and security services, very luxurious rooms with modern features, welcome snacks and fruit baskets, branded amenitis, swimming pools with temperature control to not feel cold and with white sands. delicious food with perfect menu choices. restaurant and lounge on the 18th floor with a glass bridge is very instagramable. the location is next to the mall, really there is no minus for this hotel."
"I went from Bandung and used the public transportation. It took around 2 hours depends on the traffic. Its a nice place with a good view that can refresh my eyes and my mind. We need to used their local transportation if we want to go there, around 5km. The worst thing at there…","Aside from the hefty entrance fee of 200k for foreign visitors, the view of Ratu crater is fab. Cool weather and a short trek up to view Ratu is nice. Didnt have time to view domas but heard warnings of cheats and touting. ","Spend 1 night at dusun glamping site,  it was nice and chilly. However everything went downhill when my 7 year old son got stung by 2 bees at the bouncy castle at the bamboo playground. To my horror the playground doesn't have any first aid kit at all, and refused to refund the…","We were here at Saung Angklung Udjo during our short weekend getaway in Bandung. The show was brilliant, it comprised of different traditional entertainment show of Sunda / West Java region. The show was opened with a puppetry performance called Wayang Golek and followed by…","We were here at Saung Angklung Udjo during our short weekend getaway in Bandung. The show was brilliant, it comprised of different traditional entertainment show of Sunda / West Java region. The show was opened with a puppetry performance called Wayang Golek and followed by…",PROS - room is big for budget hotel - always have hot water and shower is very nice - staff is very friendly and welcome - carpark is big as it join with the mall - directly shopping centre below the hotel  CONS - wall between room and floor is quite thin. And it's noisy depending on the guest next to your room or above your room. Can't sleep well because of this - please re-check cleanliness of the room especially near the window. I found a bunch of dead small flies lying there and it's quite a shock. - the tv channel goes blank every 5 minute. And it goes completely blank by midnight. So no tv at all during my stay. Disappointing.,"One of the best hotel in Bandung. From the arrival till departure we felt all the hospitality and comfort. Breakfast beverage was awesome, this hotel also surprisingly attached to the shopping mall, what a great experience. No place like Aryaduta. Thanks a lot","I really enjoy my stay. Have been guest for two weeks now and this is plenty of time to realize how staff goes way beyond their duty to make you feel comfortable. Hotel is conveniently located near mall and amusement park with plenty of restaurants, cafes, bakeries, supermarket, shops... Love it and recommend it."
"This crater is unique in the sense that it is filled with sulfuric excretion and it smokes.  Spend 15 minutes to see the wonder, take some photos and leave. ","Wonderful experience at the mountain. Other than the fantastic views, had a guide which brought us down to the Domas crater. The walk down was about 25min and not too challenging, although the legs were a little wobbly after that. But we enjoyed the time cooking the eggs and…",Good and cozy accomodation Good and vibrant place to stay Good and indulging food & beverages Good and comfy rooms Good rates for good people Good leisure for good families Good pique-nique,Great and Artsy Performance from Childrean an Teenagers in Saung Mang Udjo. It's really fascinating watching them play angklung and Teathre,Great and Artsy Performance from Childrean an Teenagers in Saung Mang Udjo. It's really fascinating watching them play angklung and Teathre,"I stayed two days in a superior room with doublebed.  YELLO Hotel Paskal is located inside paskal shopping complex, so if you bring car, you'll enter a parking area. the hotel itself doesn't have designated parking area for itself, but you can either park at mall basement or in front of the mall lobby (but it was always full somehow). But don't worry about the parking fees, as the hotel gives you free parking voucher for your entire stay.  location wise, The Hotel stand on top of upscale and modern shopping mall with top name retailer, restaurants and supermarkets. The area around the hotel is full of shops and restaurants as well. there is also foodcourt (Paskal Food Market) near the hotel selling plenty of Bandung traditional dishes. So that's a lot in vicinities.   As for the…","When booking reservation, joining room was requested but none available when got there. One of the room wasn’t ready, had to wait an hour. Limited 2 towels, they were yellowish. No face towels. Stains on the comforter, had to be replaced caused it was bad. Carpets in the room and lobby dirty. Strong cigarette in the lobby even though no smoking sign in placed. Toilet kept on flushing, had to pushed the lever every time toilet is used. They resolved the issues we brought out. Staffs were courteous.","Good experience..   The hotel is very comfortable, the service is also satisfying, from the receptionist and all the staff are very friendly ... hopefully getting better in the future and we will comeback soon<U+0001F60A>"
"“Kawah Putih -,Must Visit when you are in Bandung” was what a friend told us before our trip. Well, after a nearly 2 hours drive from Bandung City Centre and through narrow mountain roads lined with forestation, vast tea plantations and local housings, we arrived at this famous…","If u haven seen a volcano then perhaps u can give a shot. Will i go back there again, no!  1. Foreigners r require to pay Rp300k per person instead of Rp30k for locals.  2. The moment u parked ur car there, swarms of tour guides n peddlers will come to u and they will keep…","i've been here with her to having lunch and it was amazing, i enjoy the food that they offer to us. Good recommendation ","Saung Angklung Udjo is one of the most cultural places in The Capital City of West Java Province, Bandung. It's a tiny 'village' of which the Sundanese traditional musical instrument called BAMBU is made, displayed and even played in a very interesting colossal performance…","Saung Angklung Udjo is one of the most cultural places in The Capital City of West Java Province, Bandung. It's a tiny 'village' of which the Sundanese traditional musical instrument called BAMBU is made, displayed and even played in a very interesting colossal performance…","be more and growth of hospitality you managed. a staf was give a friendly service and always smile even meet or walking area. the construction is unic, interior are semi milenials and fresh. but my room its so hot in day because the sun is sorted via glass wall. so it little bit distrubing when i stay. the bed isn't symetric so has doing lite clicky sound when i sleep. the room so quiet that i will stay longer at yello. nice","I really didn't expect that the hotel will remain the same as 9-10 years ago, when was under different hotel management. But I like the hotel, fast check in and out, room is big and clean, good service, fantastic food and breakfast buffet, and very good location. I will recommend this hotel to anyone who want to visit Bandung, ","Holiday is here, bandung is the answer and everything will be convinient if we stay here because therea a mall, leisure for kids, lovely night for the parenta and food are delicious. Everything are cool! Water fountain for kids as well"
Wear a mask and jacket. its pretty cold up there. We were taking selfies with our sticks but we als engaged one of the local photographers. they are not pushy. 10000 rupiahs a shot transfered to ur hp should u like the picture. can bargain for a better price if u take alot of…,Tangkuban crater is a excited place to visit  with an inactive volcano. On your way can go to hot spring.,I love this place. The view is very nice and love the small lake they have. But i dont think the price is reasonable for a small family to br charge for 6 package minimum in order to eat besides the lake. The bambu houses happens to be a foto corner. I was hoping that it's a…,"Learn how to play Angklung :) Udjo's House of Angklung, where Sundanese Art and Culture Thrive and Gained Proper Respect Worldwide.   Located in the bustling eastern part of Bandung, Udjo's House of Angklung attempts to manifest beautiful harmony of vibrating bamboos that echo…","Learn how to play Angklung :) Udjo's House of Angklung, where Sundanese Art and Culture Thrive and Gained Proper Respect Worldwide.   Located in the bustling eastern part of Bandung, Udjo's House of Angklung attempts to manifest beautiful harmony of vibrating bamboos that echo…","Stayed for one night in this hotel, after 8 hours of driving i finally arrived at midnight (23.30). Im confious where to park that night as basement was closed during Covid Pandemic, after few minutes waiting in lobby a security finally come and directing to park outside of hotel lobby. Reception are on the 4th floor, check in was fast and friendly. Went up to our room, corridor was bright and warm, room is spacious, clean and comfortable. The minus point is bed size is 80/90cm i think, its too small and light so when i change position when i sleep the bed will move.  Bathroom is clean, water pressure was okay.  Breakfast only avail for room service, menu is american and indonesian you may choose as preference.   There is on small nice thing, the next day around 12.20Pm i went…","This is hotel so far is so good.. But i little disappointed for a WiFi access very slow and coverage signal is not good even im in bedroom. Some TV-digital can't be acess, and have a bad quality image due to low signal maybe","I was enjoy my stay at The Trans Luxury Hotel, the room is very clean, and comfort. the services also very good. I hope one day I will come again with my friends or family, and spend our time in this hotel. "
"Very beautiful view and make sure you bring your mask.  They also sell masks there,  but i think its better if we brought our own mask.",This is my first trip to crater in Indonesia and I found this place awesome. The crater I visited was the one non active. I might visit again next time to see the active crater (Omas Crater) ,"well if you bring a baby - its not much todo, but kids & teens would love to do activities. Enjoy the nature , views & food.  tips: Don't go on peak /holiday period.  Take other route - don't go through Lembang area to save travel time.","In my opinion, its a must-see when you visit Bandung.  Helps you to learn and understand more about the culture. In addition, the performance is really great and interesting, we had an enjoyable time!","In my opinion, its a must-see when you visit Bandung.  Helps you to learn and understand more about the culture. In addition, the performance is really great and interesting, we had an enjoyable time!",Great Hotel Near Paskal 23. Good portion breakfast. Friendly crew. Nice Room design. City center location. Sayangnya tidak bisa pakai poolnya karena lagi tutup. AC aga kurang dingin. Good value of money.,We have pleasant stay during our trip in Bandung. Friendly and helpfull staffs. Good food with good taste and varieties. Complete facilities for family vacation. Awesome. We're gonna back to this hotel again on our next trip. ,"The service at trans luxury hotel is always the best, they always help fullfill your needs. Another plus point is u can just walk to the mall if u need anything u forget to bring One of the best 5 star hotel in Bandung."
"#thekulotjourney  Kawah Putih is a striking crater lake and tourist spot in a volcanic crater about 50 km south of Bandung, West Java in Indonesia. This vast volcanic crater is filled with turquoise colored water and air filled with sulfur. A must visit natural attraction in…","After all the reviews, we decided to visit. It was cloudy so we were full of anticipation of a different sort. Ticket price for foreigners is 200k a pop, so make it last! True enough, clouds floated in, making the place mysterious and spooky. Remember to bring a windbreaker! We…","Nice place, we really enjoy coming here. It's been twice. You can find a lotta traditional food in Pasar Khatulistiwa. Now it's easier because you can pay it with e money, not a local payment card from Dusun Bambu.    Children will love the activities, we tried Trampoline,…","The activity was good for family, we can learn how to play angklung the otentic music of west java indonesia. The conductor is verry communicative and friendly to teach us how to play the music. And many children bringing us to play and traditional dancing. Absolutly great","The activity was good for family, we can learn how to play angklung the otentic music of west java indonesia. The conductor is verry communicative and friendly to teach us how to play the music. And many children bringing us to play and traditional dancing. Absolutly great","Nice & good, the staff very warm and friendly, room was clean & decorative, environment was great... only the view quite disappointing... view of paskal mall deck... and there are dead bird on the roof deck.. but that is out of your control I think... :)  Thanks","overall OK.. Aryaduta Bandung feel better than another Arya Duta because the Aryaduta Bandung is not too old.. for improvement feedback, smoking area near elevator better relocate to outdoor.. very appreciate to receptionist because when i arrived very late, they call me and make sure my reservation.. they also can tolerance when i must late check out because my seminar schedule..","When you arrived at this hotel you got all you need. Its next to mall and trans studio. The hotel facilities such as Kids corner, kids playground and kids pool are very cool. There white sands in the pool make your children feels like at the ocean.  The fitness center is very clean and quite complete.  Last but not least. For food if you dont feel like to explore outside of hotel.food at mall and hotel is very excellent and various too."
"Simply stunning view and do avoid the weekends to avoid the crowds. There is a trek you can take upwards to view. Or if you are feeling lazy, can take a pony ride up. A definite must visit ","The nothing special attraction in Bandung. Expensive entrance fee and parking. But all we can see is as the same as the picture (the Ratu Crater). Nothing much. If you wish to visit another crater, you have to pay additional 300k for 5 of us just to experience hot spring and…","We are a group of 2 adults, 5 young adults & 3 kids. We paid Rp 70k for the activity pass (Jun 19 promo) on top of the Rp 25k? basic admission ticket and the buffet of activities made visit the highlight of our 5 days Bandung visit.  We took the shuttle service from the entrance…","If you are interested to know the genuine cultures & people of Bandung, this is the place. It's not only about musical instrument, but also experiences & knowledges. ","If you are interested to know the genuine cultures & people of Bandung, this is the place. It's not only about musical instrument, but also experiences & knowledges. ","I have stayed in Yello for many times. Staying in this hotel makes me feel at home, comfortable and secured. Any kind of services has met the expected ones with affordable/ reasonable room rate. Keep it as it is or make it much better that it is. Thanks a lot","Aryaduta is one of the oldest Indonesia hotel chain. Aryaduta bandung is no exception, but don't let the old building steer you away. The moment you step into the hotel, a classical music playing in the background, carpet flooring, high ceiling and wooden furniture immediately gives you old but gold ambience. it feels so relaxing and... exclusive.  to start with, the value i got for paying less at this hotel, far exceed than those modern and chic hotel chain.   the staff greeted and treated us like royalty. check in was super fast and they did offer their hand to get our luggages up.   Our room is.. SPACIOUS. large king bed is very comfortable and firm to my liking. There are sofa too. The room has wide, floor to ceiling window overlooking Bandung city view. there are also water…","I was very happy to stay here and this is my third time staying here.  all services provided have not changed one bit. spacious rooms with good lighting, spacious bathrooms, room temperature that can be adjusted and pillows that can be selected according to our wishes"
Beautiful lake with sulphur. Pretty to look at but simply exposure to no more than 15 mins. Bring N95 masks for protection if planning to stay longer. Ask your driver to bring you to the top (Sunan Ibu) - this is about 5 minutes ride and then climb up the steep uneven steps to…,After a quite long drive and into a busy car park we all excitedly climbed the few busy steps to the view...mmmmm!!..disused coal mine was my first thought and pretty much still is...,"I went there with my guests from  Swiss.. And they all felt happy.. Because in dusun bambu has plenty flowers.. And when u going back, u bring 1 plant for each person during weekend. I recommend you all to come to this place.. ",We as a group of friends visited the Saung Angklung Udjo - an inside view of Indondesian culture. The show started with a puppet show displaying battle between good and bad. Then moved onto the different costumes and dancing of the many varied islands of Indonesia - this was…,We as a group of friends visited the Saung Angklung Udjo - an inside view of Indondesian culture. The show started with a puppet show displaying battle between good and bad. Then moved onto the different costumes and dancing of the many varied islands of Indonesia - this was…,"Don't hestitate to waste your money to stay here, i guarantee you it's worth everything you paid for in here. From Room cleanliness, view, service, location, everything just went great! Amazing experience.","This is the second time staying at Aryaduta Bandung. I love the classic ambience in this hotel. Very nice and clean and comfortable for your staycation. Located in central Bandung, near to any famous destination. Will come again to this hotel","One of the best hotel in bandung for family vacation. Service excellent, good food, great amenities,  location next to Trans Studio Mall. I enjoyed and obviously will come back again for sure!  Recommended <U+2764>  "
"Lovely bus ride up to Ciwidey. The scenery was tea plantations all along. Beautiful views. We thought we needed masks for the sulphur pool but it was bearable. Many spots for your selfies. Enjoyed the cool air, the little children managed with masks on. Historical sight and much…",This mountain is so beautiful. I enjoyed riding horse with all my family members. Never forget. Have been here for several times and still falling in love with the scenery ,I live in Iran .Iran is safe and there are a lot of historical building's in my country travel to Iran I visit all of you <U+0001F60A><U+0001F60A><U+0001F60A>,Came to Saung Udjo for a special birthday party of a good friend of ours. You can experience traditional angklung music playing modern songs like bohemian rhapsody. Cool ,Came to Saung Udjo for a special birthday party of a good friend of ours. You can experience traditional angklung music playing modern songs like bohemian rhapsody. Cool ,"food ok, room all great, the staff very nice, but sadly i didnt try the swimming pool, only the TV is too big for the room. The design of the Hotel are good, also this hotel connected to Paskal 23 shopping center.","It was our first time in Aryaduta Bandung. Not to compare them with Aryaduta Jakarta, but the service was so much better in Jakarta. The room was OK, but the toiletries were not quite satisfactory. Our bathroom was so out-of-date, the shower was not functioned properly. We thought you need to renovate the bathroom, and also the elevator. some of the lights in the elevator were off. too bad.   The food was good, for in-door dining and breakfast. The varieties were good, perfect for our enjoyment. Too bad the breakfast area was too crowded - we guess it was because we were in high occupancy week. ","Nice hotel. One of the best value for money. Room was clean, staff were friendly, facilities were clean and well maintained. Located in an entertainment complex. Good delicious good from the resraurant"
